NAME,GEOIDFQ,SUMLEVEL,open_year,fuel_type_code,count
15-County Region,M010000US001,M01,1999,BD,0
15-County Region,M010000US001,M01,2000,BD,0
15-County Region,M010000US001,M01,2001,BD,0
15-County Region,M010000US001,M01,2002,BD,0
15-County Region,M010000US001,M01,2003,BD,0
15-County Region,M010000US001,M01,2004,BD,0
15-County Region,M010000US001,M01,2005,BD,0
15-County Region,M010000US001,M01,2006,BD,0
15-County Region,M010000US001,M01,2007,BD,0
15-County Region,M010000US001,M01,2008,BD,0
15-County Region,M010000US001,M01,2009,BD,1
15-County Region,M010000US001,M01,2010,BD,0
15-County Region,M010000US001,M01,2011,BD,0
15-County Region,M010000US001,M01,2012,BD,0
15-County Region,M010000US001,M01,2013,BD,0
15-County Region,M010000US001,M01,2014,BD,0
15-County Region,M010000US001,M01,2015,BD,0
15-County Region,M010000US001,M01,2016,BD,0
15-County Region,M010000US001,M01,2017,BD,0
15-County Region,M010000US001,M01,2018,BD,0
15-County Region,M010000US001,M01,2019,BD,0
15-County Region,M010000US001,M01,2020,BD,0
15-County Region,M010000US001,M01,2021,BD,0
15-County Region,M010000US001,M01,2022,BD,0
15-County Region,M010000US001,M01,2023,BD,0
15-County Region,M010000US001,M01,2024,BD,0
15-County Region,M010000US001,M01,2025,BD,0
15-County Region,M010000US001,M01,1999,CNG,0
15-County Region,M010000US001,M01,2000,CNG,0
15-County Region,M010000US001,M01,2001,CNG,0
15-County Region,M010000US001,M01,2002,CNG,0
15-County Region,M010000US001,M01,2003,CNG,0
15-County Region,M010000US001,M01,2004,CNG,0
15-County Region,M010000US001,M01,2005,CNG,0
15-County Region,M010000US001,M01,2006,CNG,0
15-County Region,M010000US001,M01,2007,CNG,0
15-County Region,M010000US001,M01,2008,CNG,0
15-County Region,M010000US001,M01,2009,CNG,0
15-County Region,M010000US001,M01,2010,CNG,0
15-County Region,M010000US001,M01,2011,CNG,0
15-County Region,M010000US001,M01,2012,CNG,3
15-County Region,M010000US001,M01,2013,CNG,0
15-County Region,M010000US001,M01,2014,CNG,2
15-County Region,M010000US001,M01,2015,CNG,3
15-County Region,M010000US001,M01,2016,CNG,0
15-County Region,M010000US001,M01,2017,CNG,0
