GEOIDFQ,NAME,GEOTYPE,Open year,Fuel type,count
M010000US001,15-County Region,REGION15,2000,Biodiesel,0
M010000US001,15-County Region,REGION15,2001,Biodiesel,0
M010000US001,15-County Region,REGION15,2002,Biodiesel,0
M010000US001,15-County Region,REGION15,2003,Biodiesel,0
M010000US001,15-County Region,REGION15,2004,Biodiesel,0
M010000US001,15-County Region,REGION15,2005,Biodiesel,0
M010000US001,15-County Region,REGION15,2006,Biodiesel,0
M010000US001,15-County Region,REGION15,2007,Biodiesel,0
M010000US001,15-County Region,REGION15,2008,Biodiesel,0
M010000US001,15-County Region,REGION15,2009,Biodiesel,1
M010000US001,15-County Region,REGION15,2010,Biodiesel,0
M010000US001,15-County Region,REGION15,2011,Biodiesel,0
M010000US001,15-County Region,REGION15,2012,Biodiesel,0
M010000US001,15-County Region,REGION15,2013,Biodiesel,0
M010000US001,15-County Region,REGION15,2014,Biodiesel,0
M010000US001,15-County Region,REGION15,2015,Biodiesel,0
M010000US001,15-County Region,REGION15,2016,Biodiesel,0
M010000US001,15-County Region,REGION15,2017,Biodiesel,0
M010000US001,15-County Region,REGION15,2018,Biodiesel,0
M010000US001,15-County Region,REGION15,2019,Biodiesel,0
M010000US001,15-County Region,REGION15,2020,Biodiesel,0
M010000US001,15-County Region,REGION15,2021,Biodiesel,0
M010000US001,15-County Region,REGION15,2022,Biodiesel,0
M010000US001,15-County Region,REGION15,2023,Biodiesel,0
M010000US001,15-County Region,REGION15,2024,Biodiesel,0
M010000US001,15-County Region,REGION15,2000,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2001,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2002,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2003,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2004,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2005,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2006,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2007,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2008,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2009,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2010,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2011,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2012,Compressed Natural Gas (CNG),3
M010000US001,15-County Region,REGION15,2013,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2014,Compressed Natural Gas (CNG),2
M010000US001,15-County Region,REGION15,2015,Compressed Natural Gas (CNG),3
M010000US001,15-County Region,REGION15,2016,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2017,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2018,Compressed Natural Gas (CNG),1
M010000US001,15-County Region,REGION15,2019,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2020,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2021,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2022,Compressed Natural Gas (CNG),1
M010000US001,15-County Region,REGION15,2023,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2024,Compressed Natural Gas (CNG),0
M010000US001,15-County Region,REGION15,2000,Ethanol (E85),0
M010000US001,15-County Region,REGION15,2001,Ethanol (E85),0
M010000US001,15-County Region,REGION15,2002,Ethanol (E85),0
M010000US001,15-County Region,REGION15,2003,Ethanol (E85),0
M010000US001,15-County Region,REGION15,2004,Ethanol (E85),0
M010000US001,15-County Region,REGION15,2005,Ethanol (E85),0
M010000US001,15-County Region,REGION15,2006,Ethanol (E85),1
M010000US001,15-County Region,REGION15,2007,Ethanol (E85),1
M010000US001,15-County Region,REGION15,2008,Ethanol (E85),4
M010000US001,15-County Region,REGION15,2009,Ethanol (E85),1
M010000US001,15-County Region,REGION15,2010,Ethanol (E85),0
M010000US001,15-County Region,REGION15,2011,Ethanol (E85),8
M010000US001,15-County Region,REGION15,2012,Ethanol (E85),0
M010000US001,15-County Region,REGION15,2013,Ethanol (E85),3
M010000US001,15-County Region,REGION15,2014,Ethanol (E85),6
M010000US001,15-County Region,REGION15,2015,Ethanol (E85),2
M010000US001,15-County Region,REGION15,2016,Ethanol (E85),2
M010000US001,15-County Region,REGION15,2017,Ethanol (E85),1
M010000US001,15-County Region,REGION15,2018,Ethanol (E85),0
M010000US001,15-County Region,REGION15,2019,Ethanol (E85),0
M010000US001,15-County Region,REGION15,2020,Ethanol (E85),1
M010000US001,15-County Region,REGION15,2021,Ethanol (E85),2
M010000US001,15-County Region,REGION15,2022,Ethanol (E85),11
M010000US001,15-County Region,REGION15,2023,Ethanol (E85),1
M010000US001,15-County Region,REGION15,2024,Ethanol (E85),0
M010000US001,15-County Region,REGION15,2000,Electric,0
M010000US001,15-County Region,REGION15,2001,Electric,0
M010000US001,15-County Region,REGION15,2002,Electric,0
M010000US001,15-County Region,REGION15,2003,Electric,0
M010000US001,15-County Region,REGION15,2004,Electric,0
M010000US001,15-County Region,REGION15,2005,Electric,0
M010000US001,15-County Region,REGION15,2006,Electric,0
M010000US001,15-County Region,REGION15,2007,Electric,0
M010000US001,15-County Region,REGION15,2008,Electric,0
M010000US001,15-County Region,REGION15,2009,Electric,0
M010000US001,15-County Region,REGION15,2010,Electric,0
M010000US001,15-County Region,REGION15,2011,Electric,4
M010000US001,15-County Region,REGION15,2012,Electric,7
M010000US001,15-County Region,REGION15,2013,Electric,1
M010000US001,15-County Region,REGION15,2014,Electric,2
M010000US001,15-County Region,REGION15,2015,Electric,12
M010000US001,15-County Region,REGION15,2016,Electric,10
M010000US001,15-County Region,REGION15,2017,Electric,21
M010000US001,15-County Region,REGION15,2018,Electric,19
M010000US001,15-County Region,REGION15,2019,Electric,65
M010000US001,15-County Region,REGION15,2020,Electric,60
M010000US001,15-County Region,REGION15,2021,Electric,141
M010000US001,15-County Region,REGION15,2022,Electric,100
M010000US001,15-County Region,REGION15,2023,Electric,108
M010000US001,15-County Region,REGION15,2024,Electric,96
M010000US001,15-County Region,REGION15,2000,Hydrogen,0
M010000US001,15-County Region,REGION15,2001,Hydrogen,0
M010000US001,15-County Region,REGION15,2002,Hydrogen,0
M010000US001,15-County Region,REGION15,2003,Hydrogen,0
M010000US001,15-County Region,REGION15,2004,Hydrogen,0
M010000US001,15-County Region,REGION15,2005,Hydrogen,0
M010000US001,15-County Region,REGION15,2006,Hydrogen,0
M010000US001,15-County Region,REGION15,2007,Hydrogen,0
M010000US001,15-County Region,REGION15,2008,Hydrogen,0
M010000US001,15-County Region,REGION15,2009,Hydrogen,0
M010000US001,15-County Region,REGION15,2010,Hydrogen,0
M010000US001,15-County Region,REGION15,2011,Hydrogen,0
M010000US001,15-County Region,REGION15,2012,Hydrogen,0
M010000US001,15-County Region,REGION15,2013,Hydrogen,0
M010000US001,15-County Region,REGION15,2014,Hydrogen,0
M010000US001,15-County Region,REGION15,2015,Hydrogen,0
M010000US001,15-County Region,REGION15,2016,Hydrogen,0
M010000US001,15-County Region,REGION15,2017,Hydrogen,0
M010000US001,15-County Region,REGION15,2018,Hydrogen,0
M010000US001,15-County Region,REGION15,2019,Hydrogen,0
M010000US001,15-County Region,REGION15,2020,Hydrogen,0
M010000US001,15-County Region,REGION15,2021,Hydrogen,1
M010000US001,15-County Region,REGION15,2022,Hydrogen,0
M010000US001,15-County Region,REGION15,2023,Hydrogen,0
M010000US001,15-County Region,REGION15,2024,Hydrogen,0
M010000US001,15-County Region,REGION15,2000,Liquefied Natural Gas (LNG),0
M010000US001,15-County Region,REGION15,2001,Liquefied Natural Gas (LNG),0
M010000US001,15-County Region,REGION15,2002,Liquefied Natural Gas (LNG),0
M010000US001,15-County Region,REGION15,2003,Liquefied Natural Gas (LNG),0
M010000US001,15-County Region,REGION15,2004,Liquefied Natural Gas (LNG),0
M010000US001,15-County Region,REGION15,2005,Liquefied Natural Gas (LNG),0
M010000US001,15-County Region,REGION15,2006,Liquefied Natural Gas (LNG),0
M010000US001,15-County Region,REGION15,2007,Liquefied Natural Gas (LNG),0
M010000US001,15-County Region,REGION15,2008,Liquefied Natural Gas (LNG),0
M010000US001,15-County Region,REGION15,2009,Liquefied Natural Gas (LNG),0
